L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.845059,1.06729,1.063963,1.031478,0.471398,0.69667,0.698227,0.653993,0.589046,0.56777,0.615303,0.671738,0.407619,0.436005,0.38721,0.331895,0.088439,0.087521,0.097254,0.067641,0.080608,0.049549,0.05875,0.042248
0.851203,1.073474,1.070103,1.038172,0.468361,0.693586,0.695138,0.650847,0.590049,0.568465,0.615942,0.672495,0.407813,0.436004,0.387206,0.331927,0.086802,0.089367,0.099105,0.069003,0.080806,0.049496,0.058677,0.042212
0.856906,1.079166,1.075748,1.044316,0.465331,0.69051,0.692053,0.6477,0.590954,0.569155,0.616572,0.673229,0.408022,0.435999,0.387203,0.33196,0.085308,0.091142,0.100879,0.070321,0.081016,0.049444,0.058608,0.04218
0.86215,1.084356,1.080885,1.049893,0.462307,0.687443,0.688971,0.644555,0.591752,0.569838,0.617192,0.673938,0.408244,0.435991,0.387201,0.331997,0.083942,0.092821,0.102551,0.071569,0.081239,0.049395,0.058541,0.042152
0.866919,1.089036,1.085508,1.054892,0.45929,0.684387,0.685893,0.64141,0.592438,0.570513,0.6178,0.674621,0.40848,0.435979,0.387199,0.332036,0.082689,0.094378,0.104093,0.072724,0.081476,0.049348,0.058477,0.042128
0.8712,1.093199,1.08961,1.059305,0.456281,0.681343,0.682818,0.638266,0.593008,0.571174,0.618395,0.675273,0.408728,0.435962,0.387198,0.332077,0.081537,0.095787,0.105482,0.073761,0.081728,0.049303,0.058415,0.042108
0.874983,1.096841,1.093192,1.063131,0.45328,0.678309,0.679746,0.635123,0.593462,0.571817,0.618973,0.675892,0.408987,0.43594,0.387198,0.332122,0.080472,0.097025,0.106694,0.07466,0.081996,0.049261,0.058356,0.042091
0.878263,1.099964,1.096254,1.06637,0.450286,0.675285,0.676678,0.631981,0.593798,0.572437,0.61953,0.676472,0.409256,0.435915,0.387198,0.33217,0.079484,0.098068,0.107709,0.075402,0.082282,0.049221,0.058299,0.042078
0.881038,1.102571,1.098805,1.069029,0.4473,0.672269,0.673613,0.62884,0.59402,0.573025,0.620062,0.677008,0.409532,0.435889,0.387199,0.332221,0.078565,0.098896,0.108508,0.07597,0.082587,0.049182,0.058245,0.042068
0.883308,1.104668,1.100853,1.071121,0.444323,0.669258,0.67055,0.6257,0.594134,0.573575,0.620562,0.677496,0.409813,0.435863,0.3872,0.332275,0.077708,0.099488,0.109077,0.07635,0.082913,0.049143,0.058193,0.04206
0.885079,1.106266,1.102412,1.072659,0.441353,0.66625,0.66749,0.622561,0.594147,0.574079,0.621025,0.677929,0.410097,0.435839,0.387201,0.332331,0.07691,0.099829,0.109403,0.07653,0.083261,0.049104,0.058142,0.042055
0.88636,1.10738,1.103498,1.073666,0.43839,0.663243,0.664432,0.619423,0.59407,0.574526,0.621444,0.678303,0.410382,0.435818,0.387202,0.33239,0.076169,0.099906,0.109479,0.076503,0.083634,0.049064,0.058093,0.042053
0.887164,1.108027,1.104131,1.074166,0.435436,0.660236,0.661376,0.616286,0.593917,0.57491,0.62181,0.678613,0.410663,0.435801,0.387203,0.33245,0.075488,0.099711,0.109299,0.076264,0.084033,0.049024,0.058046,0.042053
0.887508,1.108232,1.104334,1.07419,0.43249,0.657227,0.658321,0.613151,0.593702,0.575223,0.622117,0.678855,0.410939,0.435788,0.387205,0.332511,0.074868,0.099237,0.108863,0.075812,0.08446,0.048984,0.058001,0.042056
0.887411,1.10802,1.104132,1.073773,0.429551,0.654215,0.655267,0.610018,0.593444,0.575459,0.622354,0.679029,0.411205,0.435779,0.387207,0.332573,0.074316,0.098487,0.108174,0.07515,0.08492,0.048945,0.057956,0.04206
0.886899,1.107424,1.103554,1.072953,0.42662,0.651201,0.652216,0.606887,0.593162,0.575613,0.622517,0.679131,0.411458,0.435776,0.38721,0.332635,0.073838,0.097466,0.107238,0.074283,0.085413,0.048906,0.057913,0.042067
0.886004,1.106481,1.102637,1.071773,0.423698,0.648183,0.649166,0.60376,0.592874,0.575685,0.622603,0.679162,0.411695,0.435776,0.387213,0.332696,0.073439,0.096186,0.106067,0.073222,0.085942,0.048868,0.05787,0.042077
0.884761,1.105228,1.101419,1.070281,0.420785,0.645162,0.646118,0.600636,0.592596,0.575674,0.622613,0.679123,0.411912,0.435782,0.387216,0.332756,0.073124,0.094666,0.104675,0.07198,0.086512,0.048831,0.057829,0.042089
0.883215,1.103709,1.099943,1.068523,0.417883,0.642138,0.643073,0.597517,0.592341,0.575587,0.622551,0.67902,0.412108,0.435791,0.38722,0.332813,0.072897,0.09293,0.10308,0.070576,0.087124,0.048797,0.057789,0.042105
0.881411,1.101967,1.098252,1.066549,0.414991,0.639112,0.640031,0.594404,0.592121,0.575429,0.622425,0.678857,0.412281,0.435804,0.387224,0.332868,0.072758,0.091011,0.10131,0.06903,0.087782,0.048766,0.05775,0.042126
